class,count,pct_of_labeled,target_pct
healthy,0,0.0,25.0
leaf_rust,0,0.0,25.0
leaf_spot,200,100.0,25.0
leaf_blight,0,0.0,25.0
leaf_spot:APPROVED,200,,
