image_id,width,height,aspect_ratio,format,mode,size_bytes,flags,brightness_mean,contrast_std,sharpness_gradient
cmtfa7htd0c6syc878fioe9dt,1836,3008,0.61,jpeg,RGB,561325,"['unusually_high_contrast', 'possibly_blurry']",183.6,86.2,1.99
cmtfa7ht80c6nyc870xlc4pty,1673,2370,0.706,jpeg,RGB,477369,"['unusually_high_contrast', 'possibly_blurry']",173.8,91.0,3.3
cmtfa7ht40c6iyc87rcn82a1u,1778,2298,0.774,jpeg,RGB,440336,"['unusually_high_contrast', 'possibly_blurry']",166.0,91.9,2.25
cmtfa7hsz0c6dyc87pqv7d3tt,1613,1852,0.871,jpeg,RGB,305648,['possibly_blurry'],180.8,85.0,2.27
cmtfa7hsu0c68yc87i8tiih3e,1184,2005,0.591,jpeg,RGB,191920,['possibly_blurry'],192.3,83.2,1.75
cmtfa7hsq0c63yc87c2yex9fe,1269,1956,0.649,jpeg,RGB,239564,"['unusually_high_contrast', 'possibly_blurry']",186.6,92.5,2.37
cmtfa7hsl0c5yyc87zhi2lsbq,1836,2678,0.686,jpeg,RGB,582525,"['unusually_high_contrast', 'possibly_blurry']",167.5,85.5,3.03
cmtfa7hsg0c5tyc87mw8x92in,1836,2949,0.623,jpeg,RGB,690945,"['unusually_high_contrast', 'possibly_blurry']",173.3,88.3,2.91
cmtfa7hsb0c5oyc87kz57u0lo,1044,1764,0.592,jpeg,RGB,136542,"['unusually_high_contrast', 'possibly_blurry']",175.7,99.5,1.39
cmtfa7hs60c5jyc87pp7u4esx,1178,1904,0.619,jpeg,RGB,165064,"['unusually_high_contrast', 'possibly_blurry']",196.9,88.2,1.52
cmtfa7hs10c5eyc87umee1j9j,1636,2444,0.669,jpeg,RGB,442800,"['unusually_high_contrast', 'possibly_blurry']",178.9,88.7,2.6
cmtfa7hrw0c59yc872k1bksy9,1836,3019,0.608,jpeg,RGB,629194,"['unusually_high_contrast', 'possibly_blurry']",171.7,89.2,2.62
cmtfa7hrr0c54yc879077xzqq,1738,2014,0.863,jpeg,RGB,405053,"['unusually_high_contrast', 'possibly_blurry']",172.1,91.3,2.8
cmtfa7hrn0c4zyc874ha6cmxs,1836,2650,0.693,jpeg,RGB,529962,"['unusually_high_contrast', 'possibly_blurry']",183.7,86.2,2.51
cmtfa7hri0c4uyc87okncshcv,1228,2099,0.585,jpeg,RGB,192892,['possibly_blurry'],192.9,84.9,1.51
cmtfa7hre0c4pyc875zjz0z0s,1147,1660,0.691,jpeg,RGB,154611,"['unusually_high_contrast', 'possibly_blurry']",184.6,95.9,1.71
cmtfa7hr90c4kyc87323m2dtd,1332,1972,0.675,jpeg,RGB,210155,"['unusually_high_contrast', 'possibly_blurry']",178.6,96.0,1.69
cmtfa7hr40c4fyc87yw027ikn,1836,2950,0.622,jpeg,RGB,594088,"['unusually_high_contrast', 'possibly_blurry']",178.0,88.3,2.47
cmtfa7hr00c4ayc8758exgzt4,1068,2037,0.524,jpeg,RGB,231537,"['unusually_high_contrast', 'possibly_blurry']",187.5,87.8,2.74
cmtfa7hqw0c45yc87fycrywrm,1836,2378,0.772,jpeg,RGB,469599,"['unusually_high_contrast', 'possibly_blurry']",163.1,92.2,2.19
cmtfa7hqs0c40yc879h8g40fn,1369,2382,0.575,jpeg,RGB,290840,"['unusually_high_contrast', 'possibly_blurry']",171.3,99.7,1.96
cmtfa7hqn0c3vyc872s01y150,1012,1698,0.596,jpeg,RGB,174323,"['unusually_high_contrast', 'possibly_blurry']",176.7,98.1,2.53
cmtfa7hqi0c3qyc87ocqnu64a,1098,1904,0.577,jpeg,RGB,163080,"['unusually_high_contrast', 'possibly_blurry']",177.7,98.7,1.49
cmtfa7hqf0c3lyc87hdm8zky4,1836,3343,0.549,jpeg,RGB,729941,"['unusually_high_contrast', 'possibly_blurry']",169.2,90.5,2.97
cmtfa7hqa0c3gyc87x2ycipa5,1567,2678,0.585,jpeg,RGB,463094,"['unusually_high_contrast', 'possibly_blurry']",176.1,89.4,2.52
cmtfa7hq60c3byc87rd7k49qy,981,1840,0.533,jpeg,RGB,163133,"['unusually_high_contrast', 'possibly_blurry']",185.7,85.8,2.04
cmtfa7hq20c36yc87lp2p7gjb,1102,1974,0.558,jpeg,RGB,174670,['possibly_blurry'],192.0,81.1,1.68
cmtfa7hpy0c31yc8755w71wmk,1836,2868,0.64,jpeg,RGB,630259,"['unusually_high_contrast', 'possibly_blurry']",173.9,89.4,2.92
cmtfa7hpu0c2wyc87ws4apohu,1724,2383,0.723,jpeg,RGB,449772,"['unusually_high_contrast', 'possibly_blurry']",187.3,85.4,2.77
cmtfa7hpq0c2ryc877qyb7f4e,1463,2384,0.614,jpeg,RGB,304085,"['unusually_high_contrast', 'possibly_blurry']",173.4,96.8,1.8
cmtfa7hpm0c2myc87n0o6u2uj,1076,1742,0.618,jpeg,RGB,182076,"['unusually_high_contrast', 'possibly_blurry']",178.9,87.2,2.15
cmtfa7hpi0c2hyc87jnzlo0gm,1357,1993,0.681,jpeg,RGB,253519,"['unusually_high_contrast', 'possibly_blurry']",188.5,90.6,2.13
cmtfa7hpf0c2cyc87i2g4qfxz,1445,2118,0.682,jpeg,RGB,316141,"['unusually_high_contrast', 'possibly_blurry']",181.0,88.2,2.47
cmtfa7hpc0c27yc87a6cut061,1465,2201,0.666,jpeg,RGB,316991,"['unusually_high_contrast', 'possibly_blurry']",173.7,98.5,2.39
cmtfa7hp80c22yc87zxxa4gtw,1836,2630,0.698,jpeg,RGB,578746,"['unusually_high_contrast', 'possibly_blurry']",175.6,90.0,3.12
cmtfa7hp50c1xyc87t9pjcdi0,1836,2448,0.75,jpeg,RGB,519318,"['unusually_high_contrast', 'possibly_blurry']",175.5,93.5,2.88
cmtfa7hp20c1syc870acln584,1836,2156,0.852,jpeg,RGB,520955,"['unusually_high_contrast', 'possibly_blurry']",164.6,88.2,3.25
cmtfa7hoy0c1nyc87vurzpi4x,1326,2229,0.595,jpeg,RGB,274062,['possibly_blurry'],192.1,83.4,2.29
cmtfa7hou0c1iyc87du7s7sub,1410,1863,0.757,jpeg,RGB,245057,"['unusually_high_contrast', 'possibly_blurry']",170.0,101.3,2.0
cmtfa7hor0c1dyc875n0g8m29,1275,2320,0.55,jpeg,RGB,265617,"['unusually_high_contrast', 'possibly_blurry']",181.8,92.4,2.16
cmtfa7hoo0c18yc87o2v581tt,1717,2675,0.642,jpeg,RGB,335540,['possibly_blurry'],191.8,75.5,1.32
cmtfa7hol0c13yc87rbkgyfsx,1836,2566,0.716,jpeg,RGB,307432,['possibly_blurry'],196.7,72.5,0.96
cmtfa7hoh0c0yyc87z7an3yzb,1425,2204,0.647,jpeg,RGB,223753,['possibly_blurry'],191.1,79.8,1.38
cmtfa7hoe0c0tyc87mpg4kx58,1730,2189,0.79,jpeg,RGB,360623,"['unusually_high_contrast', 'possibly_blurry']",158.8,87.8,1.63
cmtfa7hob0c0oyc87wopc3bn9,1372,2244,0.611,jpeg,RGB,252586,['possibly_blurry'],188.9,84.2,1.68
