image_id,metric_outliers,quality_flags
cmu4rwizn07vbyclnjoqh85ra,,possibly_blurry
cmu4rwiz007v6ycln7mez7fg8,,possibly_blurry
cmu4rwiye07v1ycln0w8tkq6i,,possibly_blurry
cmu4rwixs07uwyclnj1k4695q,,possibly_blurry
cmu4rwix407uryclnck5lvi57,,possibly_blurry
cmu4rwiwe07umyclnd71lpzxy,,possibly_blurry
cmu4rwivr07uhyclnjto2tlp6,,possibly_blurry
cmu4rwiv707ucyclnew719ogt,,possibly_blurry
cmu4rwium07u7ycln7hrif7nw,,possibly_blurry
cmu4rwiu107u2yclnskgddh6n,,possibly_blurry
cmu4rwith07txycln3jwk515c,,possibly_blurry
cmu4rwisv07tsycln6snzscs5,,possibly_blurry
cmu4rwis707tnyclnf87r1dqq,,possibly_blurry
cmu4rwirk07tiycln6b2gp425,,possibly_blurry
cmu4rwiqp07tdyclnih961sre,,possibly_blurry
cmu4rwipz07t8yclnivkxdr57,,possibly_blurry
cmu4rwip807t3yclnh463r1nh,,possibly_blurry
cmu4rwioi07syyclnxtgc8n7n,,possibly_blurry
cmu4rwino07styclnbhj09eg0,,possibly_blurry
cmu4rwimx07soyclng3tqk2zh,,possibly_blurry
cmu4rwimc07sjyclnq7qel3bv,,possibly_blurry
cmu4rwilq07seycln5f1ve2t4,,possibly_blurry
cmu4rwikz07s9yclnw0euhfx8,,possibly_blurry
cmu4rwikd07s4yclnuhrsxwvk,,possibly_blurry
cmu4rwijt07rzyclnum1vqe8h,,possibly_blurry
cmu4rwij807ruyclngsvyyicn,,possibly_blurry
cmu4rwiim07rpycln0nzsf3t6,,possibly_blurry
cmu4rwihw07rkyclnt1uu6mok,,possibly_blurry
cmu4rwih907rfycln7uvilfmw,,possibly_blurry
cmu4rwigo07raycln85258kvm,,possibly_blurry
cmu4rwig307r5yclnqyyelwpa,,possibly_blurry
cmu4rwifg07r0yclnsc65zh3d,,possibly_blurry
cmu4rwiet07qvycln4deirtwz,,possibly_blurry
cmu4rwieb07qqyclnkf9wxvqq,,possibly_blurry
cmu4rwidk07qlyclndtmdhhrg,,possibly_blurry
cmu4rwid207qgyclnv27lnz1m,,possibly_blurry
cmu4rwicm07qbycln5szbiv35,,possibly_blurry
cmu4rwibx07q6yclnzqtmtk5b,,possibly_blurry
cmu4rwib807q1yclncd0wi2qp,,possibly_blurry
cmu4rwiak07pwycln97zopstv,,possibly_blurry
cmu4rwi9z07pryclnjzq0tydg,,possibly_blurry
cmu4rwi9i07pmycln3ua77qh1,,possibly_blurry
cmu4rwi9007phyclndelycml1,,possibly_blurry
cmu4rwi8d07pcyclnvn7n2nwu,,possibly_blurry
cmu4rwi7s07p7yclnq5npkhd5,,possibly_blurry
cmu4rwi7a07p2yclnslvym67k,,possibly_blurry
cmu4rwi6r07oxyclnmmul27zy,,possibly_blurry
cmu4rwi6a07osycln78wxngez,,possibly_blurry
cmu4rwi5g07onyclnd29g6uvi,,possibly_blurry
cmu4rwi4u07oiyclnwnajil8l,,possibly_blurry
cmu4rwi4407odyclnk5jber2a,,possibly_blurry
cmu4rwi3j07o8yclnvujlh3og,,possibly_blurry
cmu4rwi3107o3yclnqybsokpy,,possibly_blurry
cmu4rwi2l07nyyclnzu10z3w9,,possibly_blurry
cmu4rwi1u07ntycln85uux5xv,,possibly_blurry
cmu4rwi1d07noyclnzii7q52i,,possibly_blurry
cmu4rwi0v07njyclnlhynevlp,,possibly_blurry
cmu4rwi0707neyclneq7iqxek,,possibly_blurry
cmu4rwhzh07n9yclnrsh1bcsz,,possibly_blurry
cmu4rwhyu07n4ycln5owyfgzo,,possibly_blurry
cmu4rwhy907mzycln7c6g63ki,,unusually_high_contrast;possibly_blurry
cmu4rwhxo07muyclnl3kw9ygs,,possibly_blurry
cmu4rwhx207mpycln2gwmyz13,,possibly_blurry
cmu4rwhwa07mkyclnbst4cm39,,possibly_blurry
cmu4rwhvo07mfyclnqkt7e9dj,,possibly_blurry
cmu4rwhuy07mayclnet1cfx66,,possibly_blurry
cmu4rwhu907m5yclnp0ma8mqj,,possibly_blurry
cmu4rwhti07m0yclntn2pfeca,,possibly_blurry
cmu4rwhsu07lvyclnyy1a5rvd,,possibly_blurry
cmu4rwhs707lqyclnd5nealam,,possibly_blurry
cmu4rwhrl07llyclnusm2q61q,,possibly_blurry
cmu4rwhr107lgyclnuzewmb9n,,possibly_blurry
cmu4rwhqi07lbyclnkpyqx0qj,,possibly_blurry
cmu4rwhpx07l6yclnz38uksmd,,possibly_blurry
cmu4rwhpb07l1yclne1zxahmj,,possibly_blurry
cmu4rwhoo07kwycln781xjss5,,possibly_blurry
cmu4rwhnz07kryclncztc1jjc,,possibly_blurry
cmu4rwhn607kmyclnnc45kky0,,possibly_blurry
cmu4rwhmn07khycln20b61jij,,possibly_blurry
cmu4rwhm507kcyclnk89vpvgk,,possibly_blurry
cmu4rwhld07k7yclnkbkmodd3,,possibly_blurry
cmu4rwhkq07k2ycln5vh8js15,,possibly_blurry
cmu4rwhk207jxyclnlqtywkrx,,possibly_blurry
cmu4rwhjg07jsyclnyh1aln6y,,possibly_blurry
cmu4rwhir07jnycln5zi4z6hl,,possibly_blurry
cmu4rwhi107jiycln34qpq1l6,,possibly_blurry
cmu4rwhhf07jdyclnby5d2ws3,,possibly_blurry
cmu4rwhgv07j8yclnfa4q3uk3,,possibly_blurry
cmu4rwhgc07j3yclnfqlckmry,aspect_ratio,possibly_blurry
cmu4rwhfu07iyycln2kv0ecrf,,possibly_blurry
cmu4rwhfb07ityclnz5c84zyr,,possibly_blurry
cmu4rwheo07ioycln8csl28xc,,possibly_blurry
cmu4rwhdx07ijyclnl185uz07,,possibly_blurry
